,FABRIC NAME,COLOR OF DRESS,PRICE,URL
0,Georgette Stitched Flared/A-line Gown,Maroon,₹779,https://www.flipkart.com/vintage-colour-flared-a-line-gown/p/itm1bf64a5bb9d8a?pid=GWNGFGMKYUBW4EKF&lid=LSTGWNGFGMKYUBW4EKFKGTK3H&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_cZfEkHk%2FD42ae4DrxuhaJIuBxaE7Ojal3CzHcVzQMcQp638P7ojWNjTZO5qWf82KnZVGdc2xkmKJy6T57JacUQ%3D%3D&ppt=None&ppn=None&ssid=zphzy2tlb40000001684766906706&qH=2f1038825bd73a92
1,Georgette Stitched Flared/A-line Gown,Brown,₹799,https://www.flipkart.com/vintage-colour-flared-a-line-gown/p/itm86aa06d37fd8f?pid=GWNGFGMKUZ4QZK9Q&lid=LSTGWNGFGMKUZ4QZK9QAVI8ME&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=en_cZfEkHk%2FD42ae4DrxuhaJIuBxaE7Ojal3CzHcVzQMcRVNwARYQ8LPYyFLHG6zsvpJqsOOhTEarq6AAdEuiT5mQ%3D%3D&ppt=None&ppn=None&ssid=zphzy2tlb40000001684766906706&qH=2f1038825bd73a92
2,Printed Crepe Stitched Anarkali Gown,Beige,₹298,https://www.flipkart.com/ne-style-anarkali-gown/p/itm73092888d9254?pid=GWNGBP3Y3FFHDNMZ&lid=LSTGWNGBP3Y3FFHDNMZWMHL1T&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=e7d56411-f8e9-46f0-b382-a514308e9eb9.GWNGBP3Y3FFHDNMZ.SEARCH&ppt=None&ppn=None&ssid=zphzy2tlb40000001684766906706&qH=2f1038825bd73a92
3,Embroidered Net Semi Stitched Anarkali Gown,Pink,₹499,https://www.flipkart.com/zinariya-fab-anarkali-gown/p/itmbdabe0ea9b901?pid=GWNGGRAZCRBAP7FB&lid=LSTGWNGGRAZCRBAP7FBK9GRFY&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=e7d56411-f8e9-46f0-b382-a514308e9eb9.GWNGGRAZCRBAP7FB.SEARCH&ppt=None&ppn=None&ssid=zphzy2tlb40000001684766906706&qH=2f1038825bd73a92
4,Printed Crepe Stitched Anarkali Gown,Beige,₹298,https://www.flipkart.com/ne-style-anarkali-gown/p/itm7a60d5a1a8c55?pid=GWNGBG8NCTQA9ZZC&lid=LSTGWNGBG8NCTQA9ZZCWEZL0H&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=e7d56411-f8e9-46f0-b382-a514308e9eb9.GWNGBG8NCTQA9ZZC.SEARCH&ppt=None&ppn=None&ssid=zphzy2tlb40000001684766906706&qH=2f1038825bd73a92
5,Printed Crepe Stitched Anarkali Gown,Beige,₹298,https://www.flipkart.com/ne-style-anarkali-gown/p/itm87cb795652090?pid=GWNGBP3YYGPSVPVY&lid=LSTGWNGBP3YYGPSVPVYQMQ3HD&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&spotlightTagId=BestsellerId_clo%2Fodx%2Fod7&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=e7d56411-f8e9-46f0-b382-a514308e9eb9.GWNGBP3YYGPSVPVY.SEARCH&ppt=None&ppn=None&ssid=zphzy2tlb40000001684766906706&qH=2f1038825bd73a92
6,Printed Crepe Stitched Anarkali Gown,Beige,₹298,https://www.flipkart.com/ne-style-anarkali-gown/p/itm8e0604b8a4f80?pid=GWNGBP3YN43JCZDB&lid=LSTGWNGBP3YN43JCZDBB8CLCX&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&spotlightTagId=BestsellerId_clo%2Fodx%2Fod7&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=e7d56411-f8e9-46f0-b382-a514308e9eb9.GWNGBP3YN43JCZDB.SEARCH&ppt=None&ppn=None&ssid=zphzy2tlb40000001684766906706&qH=2f1038825bd73a92
7,Applique Silk Blend Stitched Flared/A-line Gown,Green,₹399,https://www.flipkart.com/glyden-trendz-flared-a-line-gown/p/itm17847678a32df?pid=GWNGJ8ER69FKUBGK&lid=LSTGWNGJ8ER69FKUBGK2YLJUN&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=en_cZfEkHk%2FD42ae4DrxuhaJIuBxaE7Ojal3CzHcVzQMcR%2BrB3cKix4yzs1%2F3ZwVb26QbAW2S%2FEU7zt38Q2J1R3rA%3D%3D&ppt=None&ppn=None&ssid=zphzy2tlb40000001684766906706&qH=2f1038825bd73a92
8,Printed Crepe Stitched Anarkali Gown,Light Green,₹300,https://www.flipkart.com/ne-style-anarkali-gown/p/itm47ddfd4c2c257?pid=GWNGBG8PYDPVCHH9&lid=LSTGWNGBG8PYDPVCHH9K9EWUC&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=e7d56411-f8e9-46f0-b382-a514308e9eb9.GWNGBG8PYDPVCHH9.SEARCH&ppt=None&ppn=None&ssid=zphzy2tlb40000001684766906706&qH=2f1038825bd73a92
9,Printed Crepe Stitched Anarkali Gown,Dark Blue,₹298,https://www.flipkart.com/ne-style-anarkali-gown/p/itm340b399e080a6?pid=GWNGBG8HNAGCHK2H&lid=LSTGWNGBG8HNAGCHK2HBVKN4X&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=e7d56411-f8e9-46f0-b382-a514308e9eb9.GWNGBG8HNAGCHK2H.SEARCH&ppt=None&ppn=None&ssid=zphzy2tlb40000001684766906706&qH=2f1038825bd73a92
