S.No,FABRIC_NAME,COLOR_OF_DRESS,price,PRICE,URL
0,Georgette Stitched Flared/A-line Gown,Brown,799,₹799,EXCEL_short
1,Applique Silk Blend Stitched Flared/A-line Gown,Red,399,₹399,EXCEL_short
2,Printed Crepe Stitched Anarkali Gown,Beige,298,₹298,EXCEL_short
3,Embroidered Net Semi Stitched Anarkali Gown,Pink,499,₹499,EXCEL_short
4,Printed Crepe Stitched Anarkali Gown,Beige,298,₹298,EXCEL_short
5,Printed Crepe Stitched Anarkali Gown,Beige,298,₹298,EXCEL_short
6,Printed Crepe Stitched Anarkali Gown,Beige,298,₹298,EXCEL_short
7,Applique Silk Blend Stitched Flared/A-line Gown,Green,399,₹399,EXCEL_short
8,Printed Crepe Stitched Anarkali Gown,Light Green,300,₹300,EXCEL_short
9,Printed Crepe Stitched Anarkali Gown,Dark Blue,298,₹298,EXCEL_short
10,Solid Georgette Stitched Flared/A-line Gown,Black,499,₹499,EXCEL_short
11,Printed Crepe Stitched Anarkali Gown,Dark Blue,298,₹298,EXCEL_short
12,Georgette Stitched Anarkali Gown,Dark Blue,649,₹649,EXCEL_short
13,Embroidered Net Semi Stitched Anarkali Gown,Grey,680,₹680,EXCEL_short
14,Paisley Rayon Blend Stitched Anarkali Gown,Maroon,769,₹769,EXCEL_short
15,Printed Crepe Stitched Anarkali Gown,Pink,284,₹284,EXCEL_short
16,Printed Crepe Stitched Anarkali Gown,Black,284,₹284,EXCEL_short
17,Embroidered Net Semi Stitched Anarkali Gown,Maroon,499,₹499,EXCEL_short
18,Solid Georgette Stitched Flared/A-line Gown,Blue,499,₹499,EXCEL_short
19,Embroidered Net Semi Stitched Anarkali Gown,Pink,499,₹499,EXCEL_short
20,Printed Crepe Stitched Anarkali Gown,Blue,284,₹284,EXCEL_short
21,Printed Crepe Stitched Anarkali Gown,Light Green,284,₹284,EXCEL_short
22,Georgette Stitched Flared/A-line Gown,Purple,499,₹499,EXCEL_short
23,Solid Georgette Stitched Flared/A-line Gown,Blue,499,₹499,EXCEL_short
24,Dyed Georgette Stitched Anarkali Gown,Blue,499,₹499,EXCEL_short
25,Embroidered Net Semi Stitched Anarkali Gown,Multicolor,436,₹436,EXCEL_short
26,Embroidered Net Semi Stitched Anarkali Gown,Multicolor,436,₹436,EXCEL_short
27,Printed Crepe Stitched Anarkali Gown,Light Green,297,₹297,EXCEL_short
28,Printed Crepe Stitched Anarkali Gown,Dark Blue,284,₹284,EXCEL_short
29,Net Semi Stitched Anarkali Gown,Yellow,499,₹499,EXCEL_short
30,Self Design Rayon Blend Stitched Anarkali Gown,Pink,649,₹649,EXCEL_short
