S.No,FABRIC_NAME,COLOR_OF_DRESS,price,PRICE,URL
0,Georgette Stitched Flared/A-line Gown,Brown,799,₹799,https://www.flipkart.com/vintage-colour-flared-a-line-gown/p/itm86aa06d37fd8f?pid=GWNGFGMKUZ4QZK9Q&lid=LSTGWNGFGMKUZ4QZK9QAVI8ME&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_SkKwAPOXcyL8l4llZDeXkOSr%2FXif81J8ZSNNrlLbLV4gYSGfFbUK%2BcvZ3k5EGv7fJqsOOhTEarq6AAdEuiT5mQ%3D%3D&ppt=None&ppn=None&ssid=ptuzaq6b4w0000001684766965091&qH=2f1038825bd73a92
1,Applique Silk Blend Stitched Flared/A-line Gown,Red,399,₹399,https://www.flipkart.com/vintage-colour-flared-a-line-gown/p/itm86aa06d37fd8f?pid=GWNGFGMKUZ4QZK9Q&lid=LSTGWNGFGMKUZ4QZK9QAVI8ME&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_SkKwAPOXcyL8l4llZDeXkOSr%2FXif81J8ZSNNrlLbLV4gYSGfFbUK%2BcvZ3k5EGv7fJqsOOhTEarq6AAdEuiT5mQ%3D%3D&ppt=None&ppn=None&ssid=ptuzaq6b4w0000001684766965091&qH=2f1038825bd73a93
2,Printed Crepe Stitched Anarkali Gown,Beige,298,₹298,https://www.flipkart.com/vintage-colour-flared-a-line-gown/p/itm86aa06d37fd8f?pid=GWNGFGMKUZ4QZK9Q&lid=LSTGWNGFGMKUZ4QZK9QAVI8ME&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_SkKwAPOXcyL8l4llZDeXkOSr%2FXif81J8ZSNNrlLbLV4gYSGfFbUK%2BcvZ3k5EGv7fJqsOOhTEarq6AAdEuiT5mQ%3D%3D&ppt=None&ppn=None&ssid=ptuzaq6b4w0000001684766965091&qH=2f1038825bd73a94
3,Embroidered Net Semi Stitched Anarkali Gown,Pink,499,₹499,https://www.flipkart.com/vintage-colour-flared-a-line-gown/p/itm86aa06d37fd8f?pid=GWNGFGMKUZ4QZK9Q&lid=LSTGWNGFGMKUZ4QZK9QAVI8ME&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_SkKwAPOXcyL8l4llZDeXkOSr%2FXif81J8ZSNNrlLbLV4gYSGfFbUK%2BcvZ3k5EGv7fJqsOOhTEarq6AAdEuiT5mQ%3D%3D&ppt=None&ppn=None&ssid=ptuzaq6b4w0000001684766965091&qH=2f1038825bd73a95
4,Printed Crepe Stitched Anarkali Gown,Beige,298,₹298,https://www.flipkart.com/vintage-colour-flared-a-line-gown/p/itm86aa06d37fd8f?pid=GWNGFGMKUZ4QZK9Q&lid=LSTGWNGFGMKUZ4QZK9QAVI8ME&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_SkKwAPOXcyL8l4llZDeXkOSr%2FXif81J8ZSNNrlLbLV4gYSGfFbUK%2BcvZ3k5EGv7fJqsOOhTEarq6AAdEuiT5mQ%3D%3D&ppt=None&ppn=None&ssid=ptuzaq6b4w0000001684766965091&qH=2f1038825bd73a96
5,Printed Crepe Stitched Anarkali Gown,Beige,298,₹298,https://www.flipkart.com/vintage-colour-flared-a-line-gown/p/itm86aa06d37fd8f?pid=GWNGFGMKUZ4QZK9Q&lid=LSTGWNGFGMKUZ4QZK9QAVI8ME&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_SkKwAPOXcyL8l4llZDeXkOSr%2FXif81J8ZSNNrlLbLV4gYSGfFbUK%2BcvZ3k5EGv7fJqsOOhTEarq6AAdEuiT5mQ%3D%3D&ppt=None&ppn=None&ssid=ptuzaq6b4w0000001684766965091&qH=2f1038825bd73a97
6,Printed Crepe Stitched Anarkali Gown,Beige,298,₹298,https://www.flipkart.com/vintage-colour-flared-a-line-gown/p/itm86aa06d37fd8f?pid=GWNGFGMKUZ4QZK9Q&lid=LSTGWNGFGMKUZ4QZK9QAVI8ME&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_SkKwAPOXcyL8l4llZDeXkOSr%2FXif81J8ZSNNrlLbLV4gYSGfFbUK%2BcvZ3k5EGv7fJqsOOhTEarq6AAdEuiT5mQ%3D%3D&ppt=None&ppn=None&ssid=ptuzaq6b4w0000001684766965091&qH=2f1038825bd73a98
7,Applique Silk Blend Stitched Flared/A-line Gown,Green,399,₹399,https://www.flipkart.com/vintage-colour-flared-a-line-gown/p/itm86aa06d37fd8f?pid=GWNGFGMKUZ4QZK9Q&lid=LSTGWNGFGMKUZ4QZK9QAVI8ME&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_SkKwAPOXcyL8l4llZDeXkOSr%2FXif81J8ZSNNrlLbLV4gYSGfFbUK%2BcvZ3k5EGv7fJqsOOhTEarq6AAdEuiT5mQ%3D%3D&ppt=None&ppn=None&ssid=ptuzaq6b4w0000001684766965091&qH=2f1038825bd73a99
8,Printed Crepe Stitched Anarkali Gown,Light Green,300,₹300,https://www.flipkart.com/vintage-colour-flared-a-line-gown/p/itm86aa06d37fd8f?pid=GWNGFGMKUZ4QZK9Q&lid=LSTGWNGFGMKUZ4QZK9QAVI8ME&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_SkKwAPOXcyL8l4llZDeXkOSr%2FXif81J8ZSNNrlLbLV4gYSGfFbUK%2BcvZ3k5EGv7fJqsOOhTEarq6AAdEuiT5mQ%3D%3D&ppt=None&ppn=None&ssid=ptuzaq6b4w0000001684766965091&qH=2f1038825bd73a100
9,Printed Crepe Stitched Anarkali Gown,Dark Blue,298,₹298,https://www.flipkart.com/vintage-colour-flared-a-line-gown/p/itm86aa06d37fd8f?pid=GWNGFGMKUZ4QZK9Q&lid=LSTGWNGFGMKUZ4QZK9QAVI8ME&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_SkKwAPOXcyL8l4llZDeXkOSr%2FXif81J8ZSNNrlLbLV4gYSGfFbUK%2BcvZ3k5EGv7fJqsOOhTEarq6AAdEuiT5mQ%3D%3D&ppt=None&ppn=None&ssid=ptuzaq6b4w0000001684766965091&qH=2f1038825bd73a101
