,FABRIC NAME,COLOR OF DRESS,PRICE,URL
0,Floral Print Crepe Stitched Anarkali Gown,Blue,₹314,https://www.flipkart.com/lanya-fab-anarkali-gown/p/itm9f55259c889cb?pid=GWNGPHT3A77VNZDE&lid=LSTGWNGPHT3A77VNZDEVHA2PW&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_G0TnPvXCA8t531vVBqWVsMmJB3Vfnx6uJihuCMZcYAzrS02D9BeS4Sxy83UFcuHyI8wZTaBRbvv8QscTDi7byQ%3D%3D&ppt=None&ppn=None&ssid=p6pcpi993k0000001684673309651&qH=2f1038825bd73a92
1,Floral Print Crepe Stitched Anarkali Gown,Light Blue,₹349,https://www.flipkart.com/lanya-fab-anarkali-gown/p/itmf67f5bef21f3b?pid=GWNGPHT3FG3HBPUS&lid=LSTGWNGPHT3FG3HBPUSGFSZFS&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=en_G0TnPvXCA8t531vVBqWVsMmJB3Vfnx6uJihuCMZcYAxwSGk5RvYpg74EcH2EKIUWqt3xekPvjQpUO38AQBvjdw%3D%3D&ppt=None&ppn=None&ssid=p6pcpi993k0000001684673309651&qH=2f1038825bd73a92
2,Printed Crepe Stitched Anarkali Gown,Beige,₹298,https://www.flipkart.com/ne-style-anarkali-gown/p/itm7a60d5a1a8c55?pid=GWNGBG8NCTQA9ZZC&lid=LSTGWNGBG8NCTQA9ZZCWEZL0H&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=1406752a-6901-46b5-8406-90452f03e920.GWNGBG8NCTQA9ZZC.SEARCH&ppt=None&ppn=None&ssid=p6pcpi993k0000001684673309651&qH=2f1038825bd73a92
3,Printed Crepe Stitched Anarkali Gown,Beige,₹298,https://www.flipkart.com/ne-style-anarkali-gown/p/itm73092888d9254?pid=GWNGBP3Y3FFHDNMZ&lid=LSTGWNGBP3Y3FFHDNMZWMHL1T&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=1406752a-6901-46b5-8406-90452f03e920.GWNGBP3Y3FFHDNMZ.SEARCH&ppt=None&ppn=None&ssid=p6pcpi993k0000001684673309651&qH=2f1038825bd73a92
4,Printed Crepe Stitched Anarkali Gown,Beige,₹298,https://www.flipkart.com/ne-style-anarkali-gown/p/itm8e0604b8a4f80?pid=GWNGBP3YN43JCZDB&lid=LSTGWNGBP3YN43JCZDBB8CLCX&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=1406752a-6901-46b5-8406-90452f03e920.GWNGBP3YN43JCZDB.SEARCH&ppt=None&ppn=None&ssid=p6pcpi993k0000001684673309651&qH=2f1038825bd73a92
5,Printed Rayon Blend Stitched Anarkali Gown,Yellow,₹441,https://www.flipkart.com/annsh-apparel-anarkali-gown/p/itmc3a89e5ebdbb9?pid=GWNGDJKTYFZZXMUV&lid=LSTGWNGDJKTYFZZXMUVVAH41O&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=1406752a-6901-46b5-8406-90452f03e920.GWNGDJKTYFZZXMUV.SEARCH&ppt=None&ppn=None&ssid=p6pcpi993k0000001684673309651&qH=2f1038825bd73a92
6,Printed Crepe Stitched Anarkali Gown,Beige,₹298,https://www.flipkart.com/ne-style-anarkali-gown/p/itm87cb795652090?pid=GWNGBP3YYGPSVPVY&lid=LSTGWNGBP3YYGPSVPVYQMQ3HD&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=1406752a-6901-46b5-8406-90452f03e920.GWNGBP3YYGPSVPVY.SEARCH&ppt=None&ppn=None&ssid=p6pcpi993k0000001684673309651&qH=2f1038825bd73a92
7,Viscose Rayon Stitched Anarkali Gown,Dark Green,₹411,https://www.flipkart.com/gurmeet-fashion-anarkali-gown/p/itm5fabe917b8b23?pid=GWNGK36EEKY6BYAV&lid=LSTGWNGK36EEKY6BYAVR5RG5R&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=en_G0TnPvXCA8t531vVBqWVsMmJB3Vfnx6uJihuCMZcYAwDly97LHVUoJsPCI3%2F9bM%2BWm8sMsUDz7yqKzNtz6Xxwg%3D%3D&ppt=None&ppn=None&ssid=p6pcpi993k0000001684673309651&qH=2f1038825bd73a92
8,Printed Crepe Stitched Anarkali Gown,Light Green,₹300,https://www.flipkart.com/ne-style-anarkali-gown/p/itm47ddfd4c2c257?pid=GWNGBG8PYDPVCHH9&lid=LSTGWNGBG8PYDPVCHH9K9EWUC&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=1406752a-6901-46b5-8406-90452f03e920.GWNGBG8PYDPVCHH9.SEARCH&ppt=None&ppn=None&ssid=p6pcpi993k0000001684673309651&qH=2f1038825bd73a92
9,Printed Crepe Stitched Anarkali Gown,Light Green,₹284,https://www.flipkart.com/ne-style-anarkali-gown/p/itmd1710726519d5?pid=GWNGBG8PWYTZERWH&lid=LSTGWNGBG8PWYTZERWHACDWLN&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=1406752a-6901-46b5-8406-90452f03e920.GWNGBG8PWYTZERWH.SEARCH&ppt=None&ppn=None&ssid=p6pcpi993k0000001684673309651&qH=2f1038825bd73a92
